,연극명,기간,장소,개막일,폐막일,오픈런
1,오백에 삼십,18.09.04.~오픈런,대학로 아트포레스트 1관,2018-09-04,2050-01-01,True
2,작업의 정석 - 서울 대학로,12.06.29.~오픈런,대학로연극순위아트홀1관,2012-06-29,2050-01-01,True
3,나의 PS 파트너,18.03.08.~오픈런,대학로 마루아트홀,2018-03-08,2050-01-01,True
4,2호선 세입자,19.03.15.~오픈런,대학로 바탕골 소극장,2019-03-15,2050-01-01,True
5,옥탑방 고양이 - 서울,10.04.06.~오픈런,틴틴홀,2010-04-06,2050-01-01,True
6,쉬어매드니스,15.11.12.~오픈런,콘텐츠박스,2015-11-12,2050-01-01,True
7,핫식스,18.08.02.~오픈런,대학로 키득키득아트홀,2018-08-02,2050-01-01,True
8,관객과의 전쟁/쇼미더퍼니/홍콩쇼,15.12.05.~오픈런,윤형빈소극장,2015-12-05,2050-01-01,True
9,스위치,17.07.18.~오픈런,아루또 소극장,2017-07-18,2050-01-01,True
10,코믹추리극 셜록홈즈,20.01.06.~오픈런,대학로 연극 M시어터,2020-01-06,2050-01-01,True
11,연극 라면,20.04.04.~오픈런,컬쳐씨어터,2020-04-04,2050-01-01,True
12,연애하기 좋은 날 - 서울,19.10.03.~오픈런,아티스탄홀,2019-10-03,2050-01-01,True
13,한뼘사이,17.03.01.~오픈런,서연아트홀,2017-03-01,2050-01-01,True
14,늘근도둑 이야기 - 서울,17.11.08.~오픈런,대학로 유니플렉스 3관,2017-11-08,2050-01-01,True
15,사춘기 메들리,18.03.10.~오픈런,아티스탄홀,2018-03-10,2050-01-01,True
16,행오버 - 서울,20.03.16.~오픈런,해피씨어터,2020-03-16,2050-01-01,True
17,작업의 정석 - 강남,19.04.05.~오픈런,코엑스 아트홀,2019-04-05,2050-01-01,True
18,라이어 1탄 - 서울,98.01.02.~오픈런,대학로 민송아트홀 1관,1998-01-02,2050-01-01,True
19,택시 안에서,18.10.12.~오픈런,해바라기 소극장,2018-10-12,2050-01-01,True
20,너의 목소리가 들려,18.12.06.~오픈런,봄날아트홀,2018-12-06,2050-01-01,True
21,오 나의 귀신님 - 서울,19.01.10.~오픈런,대학로 낙산씨어터,2019-01-10,2050-01-01,True
22,오마이갓,17.07.01.~오픈런,봄날아트홀 2관,2017-07-01,2050-01-01,True
23,행쇼 - 서울,19.06.28.~오픈런,낙산시어터,2019-06-28,2050-01-01,True
24,수상한 흥신소 - 서울,19.11.01.~오픈런,수상한흥신소전용관,2019-11-01,2050-01-01,True
25,멈춰진 계절,19.06.04.~오픈런,달밤엔씨어터,2019-06-04,2050-01-01,True
26,안나라수마나라,19.07.22.~오픈런,업스테이지,2019-07-22,2050-01-01,True
27,당신이 주인공,09.09.04.~오픈런,홍대 김대범 소극장,2009-09-04,2050-01-01,True
28,그놈은 예뻤다 - 서울,18.03.16.~오픈런,정태호소극장 코미디메이커,2018-03-16,2050-01-01,True
29,신비한요리집-백년국수-대전공연,20.01.10.~오픈런,아신극장,2020-01-10,2050-01-01,True
30,두 여자,15.01.09.~오픈런,라이프씨어터,2015-01-09,2050-01-01,True
31,뷰티풀라이프,16.10.02.~오픈런,JTN 아트홀 4관,2016-10-02,2050-01-01,True
32,택시 안에서 - 부산,19.03.01.~오픈런,부산 해바라기 소극장,2019-03-01,2050-01-01,True
33,디벅,20.01.15.~오픈런,대학로 마당세실극장,2020-01-15,2050-01-01,True
34,시크릿,09.01.23.~오픈런,탑아트홀,2009-01-23,2050-01-01,True
35,죽여주는 이야기,08.10.01.~오픈런,삼형제극장,2008-10-01,2050-01-01,True
36,위저드 베이커리,16.09.06.~오픈런,대학로 울씨어터,2016-09-06,2050-01-01,True
37,조각 : 사라진기억,16.11.19.~오픈런,댕로홀(구. 두레홀1관),2016-11-19,2050-01-01,True
38,노틀담의 꼽추 <콰지모도의 고백>,17.01.19.~오픈런,소극장 칸,2017-01-19,2050-01-01,True
39,서약 - 대구,17.07.07.~오픈런,떼아뜨로 중구,2017-07-07,2050-01-01,True
40,인생 역전 코미디 연극 〈럭키〉,18.03.06.~오픈런,대학로 단막극장,2018-03-06,2050-01-01,True
41,까브라더쑈,18.03.30.~오픈런,정태호소극장 코미디메이커,2018-03-30,2050-01-01,True
42,발칙한 로맨스,18.04.25.~오픈런,JTN 아트홀 2관,2018-04-25,2050-01-01,True
43,스캔들,18.05.04.~오픈런,원패스아트홀,2018-05-04,2050-01-01,True
44,달동네 - 부산,18.05.25.~오픈런,용천지랄소극장,2018-05-25,2050-01-01,True
45,그녀를 믿지마세요,18.06.01.~오픈런,대학로 스타시티 타이니앨리스극장,2018-06-01,2050-01-01,True
46,동반자살 - 대구,18.07.13.~오픈런,떼아뜨로 중구,2018-07-13,2050-01-01,True
47,쥐덫,18.09.01.~오픈런,명보아트홀 다온홀,2018-09-01,2050-01-01,True
48,당신이 주인공 2탄 (공포코믹),18.08.04.~오픈런,홍대 김대범 소극장,2018-08-04,2050-01-01,True
49,어차피 겪어야 될 사랑이야기,18.08.15.~오픈런,호은아트홀,2018-08-15,2050-01-01,True
50,MAD,18.08.16.~오픈런,JDB SQUARE,2018-08-16,2050-01-01,True
51,사과하기 좋은 날,18.09.07.~오픈런,대학로아트홀1관,2018-09-07,2050-01-01,True
52,엄마는 오십에 바다를 발견했다,18.10.05.~오픈런,허수아비 소극장,2018-10-05,2050-01-01,True
53,하트시그널,18.10.20.~오픈런,대학로 스타시티 타이니앨리스극장,2018-10-20,2050-01-01,True
54,연애플레이리스트 - 서울,18.11.23.~오픈런,대학로 D：BASE,2018-11-23,2050-01-01,True
55,보잉보잉,18.11.01.~오픈런,대학로 두레홀,2018-11-01,2050-01-01,True
56,개톡,18.11.05.~오픈런,제이디비 스퀘어,2018-11-05,2050-01-01,True
57,그남자 그여자 - 서울,18.12.21.~오픈런,파랑씨어터,2018-12-21,2050-01-01,True
58,국희이야기,18.11.30.~오픈런,스카이씨어터,2018-11-30,2050-01-01,True
59,백쇼 - 인천,19.01.25.~오픈런,필근아소극장,2019-01-25,2050-01-01,True
60,극적인 하룻밤 - 서울,19.03.01.~오픈런,대학로 드림아트센터 4관,2019-03-01,2050-01-01,True
61,달콤한 의뢰인 - 서울,19.02.23.~오픈런,아티스탄홀,2019-02-23,2050-01-01,True
62,석교리 - 서울,19.05.03.~오픈런,극장 예술공장,2019-05-03,2050-01-01,True
63,러브스펠,19.05.10.~오픈런,대학로 명작극장,2019-05-10,2050-01-01,True
64,흉터 - 서울,19.06.01.~오픈런,미마지아트센터 풀빛극장,2019-06-01,2050-01-01,True
65,진짜사랑이야기 연극 러브액츄얼리 - 서울,19.09.07.~오픈런,극장 예술공장,2019-09-07,2050-01-01,True
66,#나만빼고,19.07.05.~오픈런,익스트림씨어터 2관,2019-07-05,2050-01-01,True
67,죽어야 사는 남자,19.06.29.~오픈런,업스테이지,2019-06-29,2050-01-01,True
68,소믈리에 - 부산,19.07.26.~오픈런,레몬트리소극장,2019-07-26,2050-01-01,True
69,천사들이 들려주는 사도요한,19.07.19.~오픈런,랑씨어터,2019-07-19,2050-01-01,True
70,고스트 - 서울,19.09.06.~오픈런,대학로올래홀,2019-09-06,2050-01-01,True
71,연애리플레이,19.09.10.~오픈런,세우아트센터 2관,2019-09-10,2050-01-01,True
72,운빨로맨스 - 서울,19.10.03.~오픈런,스카이씨어터 1관,2019-10-03,2050-01-01,True
